cowok berusaha melacak perhatian gue  lantas remehkan perhatian  gue kasih khusus  basic  cowok bego,1,1
telat  tau eluedan sarap gue bergaul  cigax jifla calis   licew,0,1
41 kadang  berpikir   percaya  tuhan   jatuh berkalikali kadang  tuhan  meninggalkan   orang tuaku berencana berpisah  kakakku  memilih  kristen  anak ter,0,0
akunnku tau matamu sipit,0,0
kaum cebong kafir  dongoknya   dungu  haha,1,1
bani taplak  kawan kawan,1,1
deklarasi pilihan kepala daerah 2018 aman  anti hoaks warga dukuh sari jabon,0,0
gue  selesai rewatch aldnoah zero  kampret  2 karakter utama cowoknya kena friendzone bro uniform resource locator,0,1
admin belanja  po terbaik nak makan ais kepal milo ais kepal horlicks  cendol toping kau kau doket  gerai rozak meuaku taipan 2  kembar baby amp romantika bank islam senawang,0,0
enak   ngewe,0,1
gue  jari   gue ukur nyali  bacot,1,1
banci kaleng malu   peanyaan  2  nyungsep koe uniform resource locator,1,1
belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi,0,0
aktor huru hara 98 prabowo si  lengserkan pemerintahan jokowi nyata,1,0
bu guru enakan  jablay  guru sekolah dasar sihnkayaknya menikmati  pecun  guru,1,1
lawan bicara gue  intelek kayak  otak   kencing onta gue mengakui hadis nabi  sahih kafir kayak  menolak  ahlun nar,1,1
pikiran ampas banget,0,0
ari  beki  rapi monyet,0,1
cowok  gantle  gantle  namanya banci,1,1
alga mnr bom,0,0
anjing  gue jarang mengambek takut wkwk gue  budak cinta,0,1
noob  peluang disakiti  gede sih,0,0
joko widodo dinilai  presiden terlemah  sejarah indonesia    jokowi  memiliki modal dukungan politik    ketidakmampuan pemerintahannya menghadapi situasi ekonomi,0,0
pelajar  kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai,0,0
bandara udara internasional keajati dibangun  gubernur ahmad heryawan  anggaran pendapatan  belanja negara pemerintah pusat insya allah  beroperasi,0,0
gubernur  presidennya rakyatnya,0,0
sih kerjaannya delay mulu setan,1,1
menurutku pintu sorga  pintu sorga  asli  pintu hatimu modus banget,0,0
partai komunis indonesia  muncul  jelang pemilihan kepala daerah  pemilihan presiden  digoreng  gosong,1,0
neneknenek  heran  cebong  bohong,1,1
islam nusantara produk jil dipasarkan  gencar  antek jilnnsementara jil anti arab  pro asengnnkata almarhum kh hasyim muzadi,1,0
habis sahur  jam 10 si bayi  nete  kali  lemas,0,0
kak emak  suka  sipit wkwk,0,0
kelakuan homo jaman now ngentot  live  blued uniform resource locator,0,1
kak gue  orang jawa maaf  gue orang palembang  kakak  deh  belajar aksara jawa  kelak  belajar budaya palembang,0,0
pegawai guardian training  kayak mentang mentang gue kayak gembel  kaos  flat shoes  dijutekin bangsat  malas belinya  kabur gue  matahari,1,1
bajingan  melukai lady  menerima ganjaran seratus kali lipat,0,1
ajakan menolak berita hoaks  sukseskan pilihan kepala daerah  wilayah kota kediri,0,0
presiden ri jokowi  kerja  tulus ikhlas,0,0
edan  tujuannya fabiano,0,1
mendalami alquran  bang  mulutnya kayak orang kafir bejat hina farhat abbas law,1,1
beda  kewibawaannya  berwibawa  gubernur indonesia masya allah,0,0
anjir  kali  lihat orang bego  debat pilihan kepala daerah kerjanya menyerang karakter kecewa on  empok silvy and agus,1,1
keanekaragaman budaya suku agama  sesungguhnya kekayaan  djarot  hadapan pesea rakercabsu,0,0
islam   lokalisasi  kristen  mas  nusantaranya mas lihat  gereja  bandung  pakai gamelan   khotbah pakai bahas sundajawa  huria kristen batak protestan  nusantara,0,0
ciptakan situasi keamanan  ketertiban masyarakat menjelang pilihan kepala daerah 2018 kepala kepolisian sektor konang silaturahmi  tokoh masyarakat,0,0
positif koknsepositif respon masyarakat terhadapn cangkul imporn garam imporn beras imporn jagung imporn tenaga kerja imporn esemka impornnurl,0,0
sembahyang mengadopsi tradisi lokal  pekerjaan hindunnistilah lahir  tradisi ritus  tunggal  menyembah all,0,0
pendidikan  bodohgk  larang bawa agamabiar orang islam  bayar ahok sadar  memilih ahok gila,1,1
ahok the best abaikan kaum kampret otak micin,1,1
sih otak tempurung   meladeni  lawan   dungu    makan hehe,1,1
awaasss  beritanya  saudara gerung  susah mencari kosakatanya  bocor  memicing mata bibir monyong kesamping suara  ky  nhn kentut politik kotor  zaman   b  pulang  ky nhn ngedendungu,1,1
pinokio umur 3 tahunan,1,0
cerita silat lae  kho merah muda   indonesia  liang ie shen penulis  cina,0,0
benci  umat islam,1,0
